Generation,Population,Nwt.0,Nmut.0,Nwt.1,Nmut.1,xmut.0,xmut.1,logfc_mut,logfc_wt,logit_percycle,logit_pergen,W,log_percycle,#Rep
18000,Ara + 5,357000.0,149000.0,12800000.0,34200000.0,0.2954019754938735,0.7287865335483521,5.445450619300302,3.565354535486925,1.8800960838133765,0.5277284816046893,1.5277284816046892,0.9142151303330633,2.0
19000,Ara + 5,359000.0,166000.0,8900000.0,25800000.0,0.3164488017429194,0.7425307852768992,5.038390358757951,3.208255177960171,1.8301351807977801,0.5702063156689892,1.5702063156689892,0.8532415291890025,2.0
20000,Ara + 5,323000.0,173000.0,10600000.0,29000000.0,0.3491770183807369,0.7351851851851852,5.120609581535787,3.470328357588263,1.6502812239475233,0.47804356571025264,1.4780435657102526,0.7440915846738724,2.0
22000,Ara + 5,405000.0,199000.0,7400000.0,28300000.0,0.3308374015921186,0.7926928876602162,4.957122063862496,2.90917350551597,2.0479485583465253,0.7052371543665996,1.7052371543665996,0.8768597986210362,2.0
24000,Ara + 5,333000.0,162000.0,9000000.0,28900000.0,0.3271108136345827,0.7793449781659388,5.209666105278556,3.1363950269024636,2.073271078376092,0.6825230670240812,1.6825230670240812,0.8937258118616961,2.0
26000,Ara + 5,368000.0,168000.0,6500000.0,29300000.0,0.3134303418505883,0.8215917745620716,5.156527397630051,2.8361064541192196,2.3204209435108316,0.8320011806258152,1.8320011806258152,0.9632196827495505,2.0
28000,Ara + 5,346000.0,142000.0,8800000.0,23900000.0,0.29087091626774164,0.7329767655854612,5.121066167946303,3.215300364380104,1.9057658035661993,0.5933431190674279,1.5933431190674279,0.9285554587924262,2.0
30000,Ara + 5,354000.0,139000.0,8300000.0,24100000.0,0.2787171673677586,0.7430555555555556,5.121068034289968,3.0990447208101264,2.022023313479842,0.653175303815923,1.6531753038159231,0.9914161940292354,2.0
32000,Ara + 5,358000.0,152000.0,9600000.0,29400000.0,0.2980392156862745,0.7538461538461538,5.264869432480497,3.288985391055227,1.9758840414252696,0.6007579257721585,1.6007579257721585,0.9279632330870846,2.0
34000,Ara + 5,337000.0,151000.0,6200000.0,27900000.0,0.3094083985525541,0.8185080928923294,5.209261854419231,2.90003374421558,2.309228110203651,0.7978333922791025,1.7978333922791023,0.9728184669676572,2.0
36000,Ara + 5,385000.0,150000.0,9700000.0,24400000.0,0.28032589859690316,0.7121029005524862,5.0862738514120185,3.218145838527164,1.8681280128848547,0.5886667645470518,1.5886667645470518,0.9333860616296544,2.0
38000,Ara + 5,364000.0,144000.0,7100000.0,21700000.0,0.28396918163920193,0.7533879913190258,5.02472801754562,2.9723602678748744,2.0523677496707453,0.6910349872776971,1.691034987277697,0.9870331572307892,2.0
40000,Ara + 5,384000.0,157000.0,8500000.0,21600000.0,0.28935280405868646,0.7179441893323915,4.929413390854354,3.0893993228627403,1.8400140679916133,0.5984894402924485,1.5984894402924485,0.9089574694595338,2.0
42000,Ara + 5,392000.0,271000.0,5700000.0,18200000.0,0.37932900432900435,0.7590811965811965,4.369318753488743,2.6760414250404883,1.6932773284482554,0.6396072472723391,1.639607247272339,0.7717709887288411,2.0
44000,Ara + 5,318000.0,156000.0,8500000.0,22900000.0,0.3290652324898046,0.7270955165692008,4.981281493682867,3.26022074084566,1.7210607528372075,0.5376621942604635,1.5376621942604634,0.7882905731836231,2.0
46000,Ara + 5,355000.0,160000.0,10800000.0,24600000.0,0.31019105396595437,0.6949233716475096,5.039038547536125,3.4150160939474308,1.6240224535886945,0.4754445607462502,1.4754445607462503,0.808563307634714,2.0
48000,Ara + 5,335000.0,151000.0,6600000.0,25300000.0,0.3117017663043478,0.796551724137931,5.120355693168326,2.945307093464021,2.175048599704306,0.7633756990638556,1.7633756990638556,0.9389193630640623,2.0
50000,Ara + 5,332000.0,111000.0,9500000.0,28000000.0,0.24874485596707818,0.7477044476327116,5.5422019733840235,3.3470801662695253,2.1951218071144982,0.6576455603907598,1.6576455603907598,1.1033169842458896,2.0
0,Ara + 6,240500.0,313000.0,27700000.0,29700000.0,0.5658099851538344,0.5185500757888334,4.534732835968734,4.7253828775921605,-0.1906500416234267,-0.03880274493268277,0.9611972550673172,-0.09276906195155854,4.0
500,Ara + 6,271250.0,247000.0,14500000.0,25050000.0,0.47698285841754995,0.6327596153846153,4.572265974936931,3.935911725196333,0.6363542497405974,0.16372997981130508,1.163729979811305,0.28318820678341894,4.0
1000,Ara + 6,254750.0,241000.0,14100000.0,26150000.0,0.48576371391280626,0.6502172475984581,4.678076414111662,3.9990875598127356,0.6789888542989264,0.16989389396284385,1.1698938939628438,0.2920756851629121,4.0
1500,Ara + 6,254000.0,228000.0,14700000.0,28500000.0,0.4732588135221407,0.6614058506218771,4.824910855644802,4.045685841880536,0.7792250137642659,0.19466370981858194,1.194663709818582,0.33521655511102044,4.0
2000,Ara + 6,259250.0,216000.0,12200000.0,21900000.0,0.4541375273812549,0.6493495882979015,4.5747105055239015,3.770739500167779,0.8039710053561219,0.21944675821037096,1.219446758210371,0.35625863559159976,4.0
2500,Ara + 6,272750.0,209500.0,12300000.0,30500000.0,0.4337947227844744,0.7174545163610511,4.965970950147909,3.761067404657993,1.204903545489916,0.32577042302143683,1.3257704230214369,0.5032985090017676,4.0
