genotype,run_no,plate_no,well_no,file_column,no_segments,sum_area_gap_fd,t_end,t_start,tphase_residuals_fd,tphase_residuals_fd_normalized,tphase_rsquared_fd
YCL044C,2,A,4,4,2.000000000e+00,-1.186023084e-02,1.161895486e+03,5.186062777e+02,1.157988994e-06,3.509057557e-08,9.914240307e-01
YLR237W,45,B,49,149,1.000000000e+00,3.437818714e-02,2.832926492e+02,1.106021085e+02,1.708316411e-06,1.898129346e-07,6.995933389e-01
YLR237W,45,B,49,149,1.000000000e+00,-3.632726142e-02,1.051622339e+03,7.066555046e+02,3.037984758e-06,1.787049858e-07,9.100587257e-01
YPR022C,48,B,51,151,2.000000000e+00,2.055315098e-02,1.326996939e+03,5.809111297e+02,6.269333692e-07,1.694414511e-08,9.949722572e-01
YKL184W,23,B,52,152,1.000000000e+00,-4.018682582e-03,6.235020049e+02,4.018323815e+02,5.651855441e-08,5.138050401e-09,8.987297622e-01
YKL184W,23,B,52,152,1.000000000e+00,-3.576114185e-02,1.082019178e+03,7.447390980e+02,2.110840988e-06,1.241671170e-07,9.419906750e-01
YNR029C,32,B,48,148,1.000000000e+00,-2.697450062e-03,9.981466439e+02,5.569229935e+02,1.814199993e-06,8.246363606e-08,9.623286084e-01
YJL078C,48,B,21,121,1.000000000e+00,-3.810682537e-02,9.292373680e+02,6.031176834e+02,2.685174012e-06,1.678233758e-07,9.346426340e-01
YDR508C,15,B,58,158,2.000000000e+00,-2.614111613e-03,1.199504080e+03,5.351434688e+02,6.531856897e-07,1.979350575e-08,9.947883410e-01
YOL017W,35,B,85,185,1.000000000e+00,6.102108602e-03,4.764217723e+02,3.297626879e+02,3.799785144e-08,5.428264492e-09,-2.905696027e-03
YOL017W,35,B,85,185,2.000000000e+00,-2.012939686e-02,1.316680092e+03,6.053570262e+02,1.303832189e-06,3.725234826e-08,9.893300994e-01
YHL031C,4,B,59,159,1.000000000e+00,7.354690991e-03,5.492371445e+02,3.579929923e+02,8.598523851e-08,8.598523851e-09,7.704111019e-01
YHL031C,4,B,59,159,2.000000000e+00,-1.617638467e-02,1.342054096e+03,6.686668261e+02,1.010668663e-06,2.972554892e-08,9.907747140e-01
YML067C,46,A,59,59,2.000000000e+00,9.923137700e-04,1.171549097e+03,4.975779707e+02,1.480333399e-06,4.353921762e-08,9.883473478e-01
YNL227C,30,A,99,99,2.000000000e+00,-2.231494112e-02,1.415403875e+03,7.099273718e+02,1.244198351e-06,3.554852431e-08,9.867441311e-01
YJL180C,20,B,85,185,2.000000000e+00,-2.641804322e-02,1.306180255e+03,5.845443008e+02,1.716444003e-06,4.767900008e-08,9.857363467e-01
YPL249C,36,A,66,66,1.000000000e+00,2.274287626e-03,4.170998887e+02,2.132228900e+02,2.920444044e-08,2.920444044e-09,9.915598245e-01
YPL249C,36,A,66,66,1.000000000e+00,-3.515824866e-02,8.830875861e+02,5.578501789e+02,2.273110197e-06,1.337123646e-07,9.524492691e-01
YGR148C,20,B,4,104,2.000000000e+00,-3.179112384e-03,1.150695023e+03,6.015661187e+02,2.217512319e-06,8.213008590e-08,9.735451356e-01
YLR287C,26,A,75,75,2.000000000e+00,-1.730991206e-02,1.252787372e+03,5.427565005e+02,1.130607323e-06,3.230306637e-08,9.907040913e-01
BY4741,40,A,88,88,2.000000000e+00,-9.032729780e-04,1.344115754e+03,6.188803359e+02,1.049715365e-06,2.837068553e-08,9.921722852e-01
YLR253W,26,B,48,148,1.000000000e+00,-1.738833946e-02,8.676852554e+02,5.012334767e+02,1.696626787e-06,9.425704373e-08,9.683781480e-01
YKL077W,22,A,68,68,1.000000000e+00,-3.164663666e-02,8.428833977e+02,5.124882915e+02,2.642295245e-06,1.554291320e-07,9.518706959e-01
YGL236C,18,A,81,81,2.000000000e+00,-1.210776738e-02,1.170222079e+03,4.911724317e+02,1.384454361e-06,4.071924592e-08,9.894811346e-01
YAL030W,1,B,30,130,2.000000000e+00,-1.686453322e-02,1.240222391e+03,5.457818106e+02,1.378718059e-06,3.939194453e-08,9.898765226e-01
YNL139C,31,B,61,161,1.000000000e+00,7.778982093e-03,1.111980870e+03,6.722549687e+02,1.743430208e-06,7.924682762e-08,9.535972981e-01
YKL085W,22,A,74,74,2.000000000e+00,-2.029072681e-02,1.204537036e+03,5.263645722e+02,2.385911779e-06,7.017387585e-08,9.825408310e-01
YFL034W,2,A,58,58,2.000000000e+00,-1.936910693e-02,1.212999368e+03,5.110827841e+02,1.114462572e-06,3.184178776e-08,9.921524348e-01
YDL012C,9,A,92,92,2.000000000e+00,-2.185651547e-02,1.261922584e+03,5.958470881e+02,1.518789924e-06,4.467029189e-08,9.884650856e-01
YMR282C,29,A,92,92,1.000000000e+00,-8.170965589e-03,9.183593692e+02,5.759599950e+02,1.469030365e-06,8.641355088e-08,9.588852818e-01
YPL022W,38,A,51,51,1.000000000e+00,5.537943749e-04,4.184423640e+02,2.052434205e+02,1.797289265e-07,1.797289265e-08,6.343017701e-01
YPL022W,38,A,51,51,1.000000000e+00,-2.567498735e-02,8.160855065e+02,5.072271358e+02,1.583466085e-06,1.055644057e-07,9.602889804e-01
YGL033W,17,B,38,138,1.000000000e+00,-3.038787708e-02,8.407450254e+02,4.935280563e+02,2.904743860e-06,1.613746589e-07,9.572749002e-01
YLR312W-A,26,B,96,196,1.000000000e+00,1.110156518e-03,1.130602908e+03,6.536868698e+02,1.330302121e-06,5.542925503e-08,9.608301434e-01
YJR088C,21,A,92,92,2.000000000e+00,-2.430874273e-02,1.212778990e+03,5.242311401e+02,1.265463793e-06,3.721952333e-08,9.894477496e-01
YBR073W,8,B,55,155,1.000000000e+00,1.323458519e-02,4.896703907e+02,2.101846905e+02,3.683635477e-06,2.631168198e-07,7.085624449e-01
YBR073W,8,B,55,155,2.000000000e+00,-2.766869050e-03,1.760025991e+03,1.060659066e+03,1.201872447e-06,3.433921276e-08,9.884319127e-01
YLR446W,41,A,46,46,2.000000000e+00,2.721528952e-02,1.256123579e+03,5.332431540e+02,1.278833040e-06,3.552314001e-08,9.900347688e-01
YDL171C,11,B,11,111,1.000000000e+00,-8.693091363e-04,4.267858558e+02,3.607957438e+02,9.722190339e-09,3.240730113e-09,5.624328344e-01
YDL171C,11,B,11,111,1.000000000e+00,-1.611158520e-02,9.361531303e+02,5.992320052e+02,2.098433470e-06,1.234372630e-07,9.604976901e-01
YOR321W,35,B,17,117,2.000000000e+00,-1.405260950e-02,1.382956052e+03,6.240117279e+02,1.744309950e-06,4.590289343e-08,9.862841766e-01
YGL072C,17,B,67,167,1.000000000e+00,-3.301752412e-02,1.023574665e+03,7.228100890e+02,1.597984991e-06,1.065323327e-07,9.411684133e-01
BY4741,18,A,71,71,1.000000000e+00,-2.945231421e-02,7.875698776e+02,4.560302364e+02,2.282045414e-06,1.342379655e-07,9.554070086e-01
YLR392C,27,A,57,57,2.000000000e+00,-1.753291636e-02,1.156160015e+03,4.352637708e+02,1.414379423e-06,3.928831732e-08,9.909755844e-01
BY4741,35,B,71,171,2.000000000e+00,-1.395925989e-02,1.481646020e+03,6.277748790e+02,1.014370315e-06,2.359000732e-08,9.926131011e-01
YDL046W,10,B,18,118,1.000000000e+00,2.765848821e-02,2.546435196e+02,9.334268830e+01,2.147627618e-06,2.684534523e-07,6.131771392e-01
YDL046W,10,B,18,118,1.000000000e+00,-2.894875129e-02,1.005695585e+03,6.753416857e+02,2.621552409e-06,1.542089652e-07,9.416575404e-01
YKR007W,23,A,80,80,1.000000000e+00,1.034543237e-02,1.268104297e+03,6.109482868e+02,3.133375440e-07,9.495077090e-09,9.963015449e-01
YOR137C,33,A,83,83,1.000000000e+00,8.091468116e-03,3.542828553e+02,2.080502344e+02,1.526210746e-07,2.180301066e-08,-1.026743260e-01
YOR137C,33,A,83,83,2.000000000e+00,-2.671901907e-02,1.155050165e+03,4.899498039e+02,1.608743649e-06,4.874980755e-08,9.875906127e-01
BY4741,36,A,5,5,1.000000000e+00,5.771215069e-03,2.664347886e+02,8.416834000e+01,1.319117399e-07,1.465685999e-08,9.713883094e-01
BY4741,36,A,5,5,1.000000000e+00,-3.340150203e-02,7.278974324e+02,4.104024569e+02,2.058744278e-06,1.286715174e-07,9.480275901e-01
YBR062C,8,A,45,45,1.000000000e+00,1.543211965e-02,4.746193095e+02,1.790420598e+02,7.928551446e-07,5.285700964e-08,9.683609336e-01
YBR062C,8,A,45,45,2.000000000e+00,-1.911702311e-02,1.506558636e+03,8.221522929e+02,1.081773480e-06,3.181686706e-08,9.894735146e-01
YJL112W,21,B,33,133,1.000000000e+00,-2.926177953e-02,8.651658619e+02,5.240558076e+02,2.306832025e-06,1.356960015e-07,9.571100283e-01
YER039C-A,40,B,35,135,1.000000000e+00,-2.456046326e-02,9.965222040e+02,6.447351687e+02,1.781725696e-06,1.048073939e-07,9.592858823e-01
YIL110W,3,A,82,82,1.000000000e+00,-3.976570043e-03,4.998794869e+02,3.160367431e+02,2.158769226e-08,2.398632474e-09,8.971441186e-01
