genotype,run_no,plate_no,well_no,file_column,no_segments,sum_area_gap_fd,t_end,t_start,tphase_residuals_fd,tphase_residuals_fd_normalized,tphase_rsquared_fd
YDL186W,11,B,26,126,1.000000000e+00,-1.636286933e-02,8.992437032e+02,5.740314673e+02,1.413119145e-06,8.831994654e-08,9.678971238e-01
YHR067W,45,A,22,22,1.000000000e+00,2.321184728e-02,3.616406016e+02,2.373206613e+02,3.850681932e-07,5.500974188e-08,8.523014933e-01
YHR067W,45,A,22,22,2.000000000e+00,-1.474108895e-02,1.595184798e+03,8.269019839e+02,8.676279936e-07,2.283231562e-08,9.903996021e-01
YDR389W,14,B,70,170,1.000000000e+00,-4.424885153e-02,9.115349380e+02,5.708856198e+02,1.611499196e-06,9.479407035e-08,9.483097767e-01
YGR050C,47,B,47,147,2.000000000e+00,-8.329061000e-06,1.437320250e+03,5.742288706e+02,1.316499374e-06,3.061626450e-08,9.924022236e-01
YIL108W,3,A,81,81,1.000000000e+00,-3.409857491e-02,9.070718128e+02,6.017414459e+02,2.037707257e-06,1.358471505e-07,9.483191593e-01
YCL048W,2,A,9,9,1.000000000e+00,1.033950460e-02,3.040810930e+02,1.452802683e+02,1.690613114e-07,2.113266393e-08,7.661538145e-01
YCL048W,2,A,9,9,1.000000000e+00,9.251143187e-04,7.105496465e+02,4.459393047e+02,7.577983934e-07,5.829218411e-08,9.728846255e-01
YCL048W,2,A,9,9,1.000000000e+00,2.270510826e-03,1.213719599e+03,1.038976645e+03,4.242180741e-07,4.713534156e-08,7.690848117e-01
YGL244W,18,B,87,187,1.000000000e+00,-1.959438781e-02,1.078147590e+03,7.525612103e+02,3.939520836e-07,2.462200522e-08,9.825419350e-01
YLR385C,27,B,50,150,1.000000000e+00,-3.076659937e-02,8.322102766e+02,4.675037783e+02,2.336058055e-06,1.297810030e-07,9.591787445e-01
YOR125C,33,A,70,70,1.000000000e+00,6.469499987e-03,4.203737990e+02,2.758283366e+02,4.735912254e-08,5.919890318e-09,8.929493114e-01
YOR125C,33,A,70,70,1.000000000e+00,-2.397828746e-02,8.899455517e+02,5.583974440e+02,2.190555554e-06,1.288562090e-07,9.493021908e-01
YKL011C,22,B,21,121,1.000000000e+00,-1.791301905e-02,9.170875667e+02,5.895652453e+02,1.394400035e-06,8.715000218e-08,9.621065384e-01
YNL050C,32,A,24,24,2.000000000e+00,-1.007922527e-02,1.186717200e+03,4.817592695e+02,1.049056383e-06,2.997303952e-08,9.910903599e-01
YJR061W,47,A,26,26,2.000000000e+00,4.669469545e-03,1.266317176e+03,5.226629645e+02,1.245438693e-06,3.366050521e-08,9.901170563e-01
YGL220W,18,B,66,166,1.000000000e+00,-4.446902714e-02,1.070409645e+03,6.613414872e+02,1.633020206e-06,8.165101032e-08,9.417835255e-01
YNL187W,31,B,31,131,1.000000000e+00,1.277832955e-02,3.773582429e+02,2.247900670e+02,1.697498704e-07,2.424998149e-08,4.844521412e-01
YNL187W,31,B,31,131,1.000000000e+00,-2.042523983e-02,7.951721724e+02,4.923179275e+02,2.016342274e-06,1.344228183e-07,9.533131083e-01
YHR012W,4,B,86,186,1.000000000e+00,1.244945431e-02,5.011897368e+02,3.796559460e+02,8.139604129e-08,1.162800590e-08,2.670187927e-01
YHR012W,4,B,86,186,2.000000000e+00,-1.146759061e-02,1.378214119e+03,6.551362835e+02,8.744033005e-07,2.428898057e-08,9.930577060e-01
YDR214W,13,B,35,135,2.000000000e+00,-2.921973084e-02,8.196806723e+02,5.093613527e+02,1.152964667e-06,7.686431113e-08,9.648958957e-01
YDR214W,13,B,35,135,1.000000000e+00,3.209794925e-02,9.497365095e+02,8.731411400e+02,1.332009873e-06,3.330024682e-07,1.822939278e-01
YDR214W,13,B,35,135,1.000000000e+00,4.750235500e-02,1.071472785e+03,9.966704825e+02,2.599945780e-06,6.499864449e-07,-7.538597052e+00
YIL060W,3,B,13,113,2.000000000e+00,-1.654049816e-02,1.230259310e+03,5.018398036e+02,7.687945686e-07,2.135540468e-08,9.942687428e-01
YEL005C,15,A,83,83,1.000000000e+00,-2.427320632e-02,9.171762192e+02,5.808590740e+02,1.618459572e-06,1.011537232e-07,9.624616060e-01
YPL264C,36,A,54,54,1.000000000e+00,3.753765607e-03,4.042929392e+02,2.271359786e+02,8.138445597e-08,9.042717330e-09,9.666910836e-01
YPL264C,36,A,54,54,2.000000000e+00,-1.787608418e-03,1.286230045e+03,5.419748405e+02,8.081595725e-07,2.184215061e-08,9.927310860e-01
YNL220W,50,B,55,155,1.000000000e+00,-8.609965966e-02,4.166815056e+02,1.591335509e+02,5.207113764e-06,4.005472126e-07,8.412381991e-01
YNL220W,50,B,55,155,2.000000000e+00,-1.319375950e-03,9.900392692e+02,4.498712856e+02,1.497405378e-06,5.545945843e-08,9.876914815e-01
YFR001W,2,B,77,177,1.000000000e+00,-3.481084878e-02,1.220863638e+03,8.127928181e+02,1.598234424e-06,7.610640117e-08,9.347575153e-01
YBR005W,7,B,94,194,1.000000000e+00,1.059063880e-02,5.040727689e+02,4.119558786e+02,9.538736950e-08,1.907747390e-08,-9.483590969e+00
YBR005W,7,B,94,194,1.000000000e+00,-3.690140711e-02,1.001504453e+03,6.614084056e+02,2.775662926e-06,1.632742898e-07,9.409136440e-01
YDL131W,10,A,84,84,2.000000000e+00,4.324424800e-04,1.343494990e+03,5.996492798e+02,1.278014983e-06,3.363197324e-08,9.919600868e-01
YPL212C,36,B,94,194,1.000000000e+00,1.618353874e-03,4.212468815e+02,2.652521790e+02,1.923344404e-08,2.404180505e-09,9.662730545e-01
YPL212C,36,B,94,194,1.000000000e+00,-1.905194131e-02,8.924755017e+02,5.667877743e+02,9.912027117e-07,6.195016948e-08,9.736147501e-01
YHR131C,45,A,24,24,1.000000000e+00,-2.764256910e-02,9.345650362e+02,6.058637043e+02,2.210408718e-06,1.381505449e-07,9.511977449e-01
